!,,,,,,,
! ----------------------------------------------------------------------------------------------,,,,,,,
!,,,,,,,
! Revision 0.0  2012-09-17 Andre,,,,,,, 
! GB2 Initial version,,,,,,,
!,,,,,,,
! ----------------------------------------------------------------------------------------------,,,,,,,
# Addr,Name,Def/mask,SubDes,Des,,,
,,,,,,,
,,,,,,,
,,,,,,,
R30.0,Device Control 1 ,16'h0A00,,,,,
30.9728.1,Loopback Output enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.,,,
30.9728.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control,,,
,,,,,,,
R30.9984,Host Tx Lane 7 Main Control,16'h0006,,,,,
30.9984.15:3,Reserved,R,,,,,
30.9984.3,Reserved,RW,,,,,
30.9984.1,Loopback Output enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.,,,
30.9984.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control,,,
,,,,,,,
R30.10240,Host Tx Lane 8 Main Control,16'h0006,,,,,
30.10240.15:3,Reserved,R,,,,,
30.10240.3,Reserved,RW,,,,,
30.10240.1,Loopback Output enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.,,,
30.10240.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control,,,
,,,,,,,
R30.10496,Host Tx Lane 9 Main Control,16'h0006,,,,,
30.10496.15:3,Reserved,R,,,,,
30.10496.3,Reserved,RW,,,,,
30.10496.1,Loopback Output enable,RW,0=disable; 1=enable,Enable the main TXP/N output during internal loopback. The main TXP/N output can be disabled during loopback by setting this bit low. This bit has no effect unless in loopback mode.,,,
30.10496.0,Swap TXP/N,RW,0=disable; 1=enable,Assert this bit to enable inversion of the data presented at TXP/N.  This can be helpful to accommodate board route swapping for actual TXP/N via MDIO SW control,,,
,,,,,,,
,,,,,,,
R30.4097,Optical Tx Lane 0 Eq Control,16'h0000,,,,,
30.4097.15:11,Reserved,R,,,,,
30.4097.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,,,
30.4097.7:5,Reserved,R,,,,,
30.4097.4:3,txa_slew,RW, 00 = Fastest; 01 = 01; 10 = 10; 11 = slowest;,Tx Slew control. This defines the slew rate on the output (intended for 10G mode only),,,
30.4097.2,Reserved,R,,,,,
30.4097.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,,,
,,,,,,,
R30.4353,Optical Tx Lane 1 Eq Control,16'h0000,,,,,
30.4353.15:11,Reserved,R,,,,,
30.4353.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,,,
30.4353.7:5,Reserved,R,,,,,
30.4353.4:3,txa_slew,RW, 00 = Fastest; 01 = 01; 10 = 10; 11 = slowest;,Tx Slew control. This defines the slew rate on the output (intended for 10G mode only),,,
30.4353.2,Reserved,R,,,,,
30.4353.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,,,
,,,,,,,
R30.4609,Optical Tx Lane 2 Eq Control,16'h0000,,,,,
30.4609.15:11,Reserved,R,,,,,
30.4609.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,,,
30.4609.7:5,Reserved,R,,,,,
30.4609.4:3,txa_slew,RW, 00 = Fastest; 01 = 01; 10 = 10; 11 = slowest;,Tx Slew control. This defines the slew rate on the output (intended for 10G mode only),,,
30.4609.2,Reserved,R,,,,,
30.4609.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,,,
,,,,,,,
R30.4865,Optical Tx Lane 3 Eq Control,16'h0000,,,,,
30.4865.15:11,Reserved,R,,,,,
30.4865.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,,,
30.4865.7:5,Reserved,R,,,,,
30.4865.4:3,txa_slew,RW, 00 = Fastest; 01 = 01; 10 = 10; 11 = slowest;,Tx Slew control. This defines the slew rate on the output (intended for 10G mode only),,,
30.4865.2,Reserved,R,,,,,
30.4865.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,,,
,,,,,,,
R30.5121,Optical Tx Lane 4 Eq Control,16'h0000,,,,,
30.5121.15:11,Reserved,R,,,,,
30.5121.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,,,
30.5121.7:5,Reserved,R,,,,,
30.5121.4:3,txa_slew,RW, 00 = Fastest; 01 = 01; 10 = 10; 11 = slowest;,Tx Slew control. This defines the slew rate on the output (intended for 10G mode only),,,
30.5121.2,Reserved,R,,,,,
30.5121.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,,,
,,,,,,,
R30.5377,Optical Tx Lane 5 Eq Control,16'h0000,,,,,
30.5377.15:11,Reserved,R,,,,,
30.5377.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,,,
30.5377.7:5,Reserved,R,,,,,
30.5377.4:3,txa_slew,RW, 00 = Fastest; 01 = 01; 10 = 10; 11 = slowest;,Tx Slew control. This defines the slew rate on the output (intended for 10G mode only),,,
30.5377.2,Reserved,R,,,,,
30.5377.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,,,
,,,,,,,
R30.5633,Optical Tx Lane 6 Eq Control,16'h0000,,,,,
30.5633.15:11,Reserved,R,,,,,
30.5633.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,,,
30.5633.7:5,Reserved,R,,,,,
30.5633.4:3,txa_slew,RW, 00 = Fastest; 01 = 01; 10 = 10; 11 = slowest;,Tx Slew control. This defines the slew rate on the output (intended for 10G mode only),,,
30.5633.2,Reserved,R,,,,,
30.5633.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,,,
,,,,,,,
R30.5889,Optical Tx Lane 7 Eq Control,16'h0000,,,,,
30.5889.15:11,Reserved,R,,,,,
30.5889.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,,,
30.5889.7:5,Reserved,R,,,,,
30.5889.4:3,txa_slew,RW, 00 = Fastest; 01 = 01; 10 = 10; 11 = slowest;,Tx Slew control. This defines the slew rate on the output (intended for 10G mode only),,,
30.5889.2,Reserved,R,,,,,
30.5889.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,,,
,,,,,,,
R30.6145,Optical Tx Lane 8 Eq Control,16'h0000,,,,,
30.6145.15:11,Reserved,R,,,,,
30.6145.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,,,
30.6145.7:5,Reserved,R,,,,,
30.6145.4:3,txa_slew,RW, 00 = Fastest; 01 = 01; 10 = 10; 11 = slowest;,Tx Slew control. This defines the slew rate on the output (intended for 10G mode only),,,
30.6145.2,Reserved,R,,,,,
30.6145.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,,,
,,,,,,,
R30.6401,Optical Tx Lane 9 Eq Control,16'h0000,,,,,
30.6401.15:11,Reserved,R,,,,,
30.6401.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,,,
30.6401.7:5,Reserved,R,,,,,
30.6401.4:3,txa_slew,RW, 00 = Fastest; 01 = 01; 10 = 10; 11 = slowest;,Tx Slew control. This defines the slew rate on the output (intended for 10G mode only),,,
30.6401.2,Reserved,R,,,,,
30.6401.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,,,
,,,,,,,
R30.8193,Host Tx Lane 0 Eq Control,16'h0000,,,,,
30.8193.15:11,Reserved,R,,,,,
30.8193.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,,,
30.8193.7:5,Reserved,R,,,,,
30.8193.4:3,txa_slew,RW, 00 = Fastest; 01 = 01; 10 = 10; 11 = slowest;,Tx Slew control. This defines the slew rate on the output (intended for 10G mode only),,,
30.8193.2,Reserved,R,,,,,
30.8193.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,,,
,,,,,,,
R30.8449,Host Tx Lane 1 Eq Control,16'h0000,,,,,
30.8449.15:11,Reserved,R,,,,,
30.8449.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,,,
30.8449.7:5,Reserved,R,,,,,
30.8449.4:3,txa_slew,RW, 00 = Fastest; 01 = 01; 10 = 10; 11 = slowest;,Tx Slew control. This defines the slew rate on the output (intended for 10G mode only),,,
30.8449.2,Reserved,R,,,,,
30.8449.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,,,
,,,,,,,
R30.8705,Host Tx Lane 2 Eq Control,16'h0000,,,,,
30.8705.15:11,Reserved,R,,,,,
30.8705.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,,,
30.8705.7:5,Reserved,R,,,,,
30.8705.4:3,txa_slew,RW, 00 = Fastest; 01 = 01; 10 = 10; 11 = slowest;,Tx Slew control. This defines the slew rate on the output (intended for 10G mode only),,,
30.8705.2,Reserved,R,,,,,
30.8705.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,,,
,,,,,,,
R30.8961,Host Tx Lane 3 Eq Control,16'h0000,,,,,
30.8961.15:11,Reserved,R,,,,,
30.8961.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,,,
30.8961.7:5,Reserved,R,,,,,
30.8961.4:3,txa_slew,RW, 00 = Fastest; 01 = 01; 10 = 10; 11 = slowest;,Tx Slew control. This defines the slew rate on the output (intended for 10G mode only),,,
30.8961.2,Reserved,R,,,,,
30.8961.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,,,
,,,,,,,
R30.9217,Host Tx Lane 4 Eq Control,16'h0000,,,,,
30.9217.15:11,Reserved,R,,,,,
30.9217.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,,,
30.9217.7:5,Reserved,R,,,,,
30.9217.4:3,txa_slew,RW, 00 = Fastest; 01 = 01; 10 = 10; 11 = slowest;,Tx Slew control. This defines the slew rate on the output (intended for 10G mode only),,,
30.9217.2,Reserved,R,,,,,
30.9217.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,,,
,,,,,,,
R30.9473,Host Tx Lane 5 Eq Control,16'h0000,,,,,
30.9473.15:11,Reserved,R,,,,,
30.9473.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,,,
30.9473.7:5,Reserved,R,,,,,
30.9473.4:3,txa_slew,RW, 00 = Fastest; 01 = 01; 10 = 10; 11 = slowest;,Tx Slew control. This defines the slew rate on the output (intended for 10G mode only),,,
30.9473.2,Reserved,R,,,,,
30.9473.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,,,
,,,,,,,
R30.9729,Host Tx Lane 6 Eq Control,16'h0000,,,,,
30.9729.15:11,Reserved,R,,,,,
30.9729.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,,,
30.9729.7:5,Reserved,R,,,,,
30.9729.4:3,txa_slew,RW, 00 = Fastest; 01 = 01; 10 = 10; 11 = slowest;,Tx Slew control. This defines the slew rate on the output (intended for 10G mode only),,,
30.9729.2,Reserved,R,,,,,
30.9729.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,,,
,,,,,,,
R30.9985,Host Tx Lane 7 Eq Control,16'h0000,,,,,
30.9985.15:11,Reserved,R,,,,,
30.9985.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,,,
30.9985.7:5,Reserved,R,,,,,
30.9985.4:3,txa_slew,RW, 00 = Fastest; 01 = 01; 10 = 10; 11 = slowest;,Tx Slew control. This defines the slew rate on the output (intended for 10G mode only),,,
30.9985.2,Reserved,R,,,,,
30.9985.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,,,
,,,,,,,
R30.10241,Host Tx Lane 8 Eq Control,16'h0000,,,,,
30.10241.15:11,Reserved,R,,,,,
30.10241.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,,,
30.10241.7:5,Reserved,R,,,,,
30.10241.4:3,txa_slew,RW, 00 = Fastest; 01 = 01; 10 = 10; 11 = slowest;,Tx Slew control. This defines the slew rate on the output (intended for 10G mode only),,,
30.10241.2,Reserved,R,,,,,
30.10241.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,,,
,,,,,,,
R30.10497,Host Tx Lane 9 Eq Control,16'h0000,,,,,
30.10497.15:11,Reserved,R,,,,,
30.10497.10:8,txa_eqpst,RW,000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,Transmit FIR post-cursor coefficient : 000 = 0.00; 001 = 0.05; 010 = 0.10; 011 = 0.15; 100 = 0.20; 101 = 0.25; 110 = 0.30; 111 = 0.35;,,,
30.10497.7:5,Reserved,R,,,,,
30.10497.4:3,txa_slew,RW, 00 = Fastest; 01 = 01; 10 = 10; 11 = slowest;,Tx Slew control. This defines the slew rate on the output (intended for 10G mode only),,,
30.10497.2,Reserved,R,,,,,
30.10497.1:0,txa_eqpre,RW, 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,Transmit FIR pre-cursor coefficient : 00 = 0.00; 01 = 0.05; 10 = 0.10; 11 = 0.15;,,,
,,,,,,,
,,,,,,,
R30.4098,Optical Tx Lane 0 Swing ,16'h0007,,,,,
30.4098.15:3,Reserved,R,,,,,
30.4098.2:0,txa_swing,RW,000 = 0%; 001 = 25%; 010 = 50%; 011 = 75%; 100 = 100%;  101 = 100%;  110 = 100%;  111 = 100%;,Transmit Swing control : 000 = 0% Amplitude; 001 = 25% Amplitude; 010 = 50% Amplitude; 011 = 75% Amplitude; 1xx = 100% Amplitude,,,
,,,,,,,
R30.4354,Optical Tx Lane 1 Swing ,16'h0007,,,,,
30.4354.15:3,Reserved,R,,,,,
30.4354.2:0,txa_swing,RW,000 = 0%; 001 = 25%; 010 = 50%; 011 = 75%; 100 = 100%;  101 = 100%;  110 = 100%;  111 = 100%;,Transmit Swing control : 000 = 0% Amplitude; 001 = 25% Amplitude; 010 = 50% Amplitude; 011 = 75% Amplitude; 1xx = 100% Amplitude,,,
,,,,,,,
R30.4610,Optical Tx Lane 2 Swing ,16'h0007,,,,,
30.4610.15:3,Reserved,R,,,,,
30.4610.2:0,txa_swing,RW,000 = 0%; 001 = 25%; 010 = 50%; 011 = 75%; 100 = 100%;  101 = 100%;  110 = 100%;  111 = 100%;,Transmit Swing control : 000 = 0% Amplitude; 001 = 25% Amplitude; 010 = 50% Amplitude; 011 = 75% Amplitude; 1xx = 100% Amplitude,,,
,,,,,,,
R30.4866,Optical Tx Lane 3 Swing ,16'h0007,,,,,
30.4866.15:3,Reserved,R,,,,,
30.4866.2:0,txa_swing,RW,000 = 0%; 001 = 25%; 010 = 50%; 011 = 75%; 100 = 100%;  101 = 100%;  110 = 100%;  111 = 100%;,Transmit Swing control : 000 = 0% Amplitude; 001 = 25% Amplitude; 010 = 50% Amplitude; 011 = 75% Amplitude; 1xx = 100% Amplitude,,,
,,,,,,,
R30.5122,Optical Tx Lane 4 Swing ,16'h0007,,,,,
30.5122.15:3,Reserved,R,,,,,
30.5122.2:0,txa_swing,RW,000 = 0%; 001 = 25%; 010 = 50%; 011 = 75%; 100 = 100%;  101 = 100%;  110 = 100%;  111 = 100%;,Transmit Swing control : 000 = 0% Amplitude; 001 = 25% Amplitude; 010 = 50% Amplitude; 011 = 75% Amplitude; 1xx = 100% Amplitude,,,
,,,,,,,
R30.5378,Optical Tx Lane 5 Swing ,16'h0007,,,,,
30.5378.15:3,Reserved,R,,,,,
30.5378.2:0,txa_swing,RW,000 = 0%; 001 = 25%; 010 = 50%; 011 = 75%; 100 = 100%;  101 = 100%;  110 = 100%;  111 = 100%;,Transmit Swing control : 000 = 0% Amplitude; 001 = 25% Amplitude; 010 = 50% Amplitude; 011 = 75% Amplitude; 1xx = 100% Amplitude,,,
,,,,,,,
R30.5634,Optical Tx Lane 6 Swing ,16'h0007,,,,,
30.5634.15:3,Reserved,R,,,,,
30.5634.2:0,txa_swing,RW,000 = 0%; 001 = 25%; 010 = 50%; 011 = 75%; 100 = 100%;  101 = 100%;  110 = 100%;  111 = 100%;,Transmit Swing control : 000 = 0% Amplitude; 001 = 25% Amplitude; 010 = 50% Amplitude; 011 = 75% Amplitude; 1xx = 100% Amplitude,,,
,,,,,,,
R30.5890,Optical Tx Lane 7 Swing ,16'h0007,,,,,
30.5890.15:3,Reserved,R,,,,,
30.5890.2:0,txa_swing,RW,000 = 0%; 001 = 25%; 010 = 50%; 011 = 75%; 100 = 100%;  101 = 100%;  110 = 100%;  111 = 100%;,Transmit Swing control : 000 = 0% Amplitude; 001 = 25% Amplitude; 010 = 50% Amplitude; 011 = 75% Amplitude; 1xx = 100% Amplitude,,,
,,,,,,,
R30.6146,Optical Tx Lane 8 Swing ,16'h0007,,,,,
30.6146.15:3,Reserved,R,,,,,
30.6146.2:0,txa_swing,RW,000 = 0%; 001 = 25%; 010 = 50%; 011 = 75%; 100 = 100%;  101 = 100%;  110 = 100%;  111 = 100%;,Transmit Swing control : 000 = 0% Amplitude; 001 = 25% Amplitude; 010 = 50% Amplitude; 011 = 75% Amplitude; 1xx = 100% Amplitude,,,
,,,,,,,
R30.6402,Optical Tx Lane 9 Swing ,16'h0007,,,,,
30.6402.15:3,Reserved,R,,,,,
30.6402.2:0,txa_swing,RW,000 = 0%; 001 = 25%; 010 = 50%; 011 = 75%; 100 = 100%;  101 = 100%;  110 = 100%;  111 = 100%;,Transmit Swing control : 000 = 0% Amplitude; 001 = 25% Amplitude; 010 = 50% Amplitude; 011 = 75% Amplitude; 1xx = 100% Amplitude,,,
,,,,,,,
R30.8194,Host Tx Lane 0 Swing ,16'h0007,,,,,
30.8194.15:3,Reserved,R,,,,,
30.8194.2:0,txa_swing,RW,000 = 0%; 001 = 25%; 010 = 50%; 011 = 75%; 100 = 100%;  101 = 100%;  110 = 100%;  111 = 100%;,Transmit Swing control : 000 = 0% Amplitude; 001 = 25% Amplitude; 010 = 50% Amplitude; 011 = 75% Amplitude; 1xx = 100% Amplitude,,,
,,,,,,,
R30.8450,Host Tx Lane 1 Swing ,16'h0007,,,,,
30.8450.15:3,Reserved,R,,,,,
30.8450.2:0,txa_swing,RW,000 = 0%; 001 = 25%; 010 = 50%; 011 = 75%; 100 = 100%;  101 = 100%;  110 = 100%;  111 = 100%;,Transmit Swing control : 000 = 0% Amplitude; 001 = 25% Amplitude; 010 = 50% Amplitude; 011 = 75% Amplitude; 1xx = 100% Amplitude,,,
,,,,,,,
R30.8706,Host Tx Lane 2 Swing ,16'h0007,,,,,
30.8706.15:3,Reserved,R,,,,,
30.8706.2:0,txa_swing,RW,000 = 0%; 001 = 25%; 010 = 50%; 011 = 75%; 100 = 100%;  101 = 100%;  110 = 100%;  111 = 100%;,Transmit Swing control : 000 = 0% Amplitude; 001 = 25% Amplitude; 010 = 50% Amplitude; 011 = 75% Amplitude; 1xx = 100% Amplitude,,,
,,,,,,,
R30.8962,Host Tx Lane 3 Swing ,16'h0007,,,,,
30.8962.15:3,Reserved,R,,,,,
