! $Header: /projects/wlv/iphy/sos/repository/iphy_A.rep/TEMP/case_1285613542/#alidation#iphy-gui#dataconfig#iCDR100_B0_internal_MDIO.csv,v 1.1 2012-06-20 11:26:14-07 case Exp $,,,
"! From: iphy/sos/repository/iphy_A.rep/TEMP/rbemra_1274230893/validation#python#iCDR100_internal_MDIO_1v1_flat.csv, v 1.6 2011-07-29 10:44:59-07 rbemra Exp $ ! Revision 1.6  2011-07-29 10:44:59-07  rbemra",,,,
! $Log: #alidation#iphy-gui#dataconfig#iCDR100_B0_internal_MDIO.csv,v $
! Revision 1.1  2012-06-20 11:26:14-07  case
! Inital release -- not checked
!,,,
! Revision 1.4  2012-04-12 14:24:40-07  case,,,,
! Fixed SA offset control register description, defined registers 30.256.2:1 as reserved,,,
!,,,,
! Revision 1.3  2012-03-29 09:59:58-07  case,,,,
! defined CYA bit function correctly this time!,,,,
!,,,,
! Revision 1.2  2012-03-27 16:40:20-07  case,,,,
! defined CYA bit function,,,,
!,,,,
! Revision 1.1  2012-03-16 10:06:15-07  case,,,,
! updated and synchronized,,,,
!,,,,
! Revision 1.4  2011-12-01 14:23:17-08  case,,,,
! Added CYA register space,,,,
!,,,,
! Revision 1.3  2011-09-29 13:32:42-07  case,,,,
! Changed 30.0.7 to reserved, 30.0.12 to MDIO init per Andre,,,
!,,,,
! Revision 1.2  2011-08-23 12:09:19-07  rbemra,,,,
! Corrected 11:8 = 4'b0101 of Rx 25G Misc Trim (per J. Sanders),,,,
!,,,,
! Revision 1.1  2011-08-08 10:48:07-07  rbemra,,,,
! First iCDR100, iPHY100 release version,,,
!,,,,
! Revision 1.6  2011-07-29 10:44:59-07  rbemra,,,,
! Same as rev4, fixed header/SOS_kwds,,,
!,,,,
! Revision 1.4  2011-07-29 09:24:11-07  case,,,,
! Corrected Rx and Tx PLL Voltage regulator descriptions,,,,
! Revision 1.3  2011-07-28 15:06:11-07  rbemra,,,,
! Several updates (iPHY team) for iCDR100 first samples,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
!,,,,
! Revision 2.0  2012-05-15 Andre,,,,
! B0 Updates,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
# RegAddr,RegName,DefVal/Mask,ValueDes,Description
R30.641,25G Rx1 1st Order CDR Cntl,16'h0102,,
30.641.15:11,Reserved,R,,
30.641.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = '1' at any time.
30.641.7,Reserved,R,,
30.641.6:0,CDR1 Threshold,RW,0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = '1' at any time.The minimum threshold is now 16. The original minimum of 8 votes is no longer supported. DO not select.
R30.897,25G Rx2 1st Order CDR Cntl,16'h0102,,
30.897.15:11,Reserved,R,,
30.897.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = '1' at any time.
30.897.7,Reserved,R,,
30.897.6:0,CDR1 Threshold,RW,0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = '1' at any time.The minimum threshold is now 16. The original minimum of 8 votes is no longer supported. DO not select.
R30.1153,25G Rx3 1st Order CDR Cntl,16'h0102,,
30.1153.15:11,Reserved,R,,
30.1153.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = '1' at any time.
30.1153.7,Reserved,R,,
30.1153.6:0,CDR1 Threshold,RW,0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = '1' at any time.The minimum threshold is now 16. The original minimum of 8 votes is no longer supported. DO not select.
R30.386,25G Rx0 2nd Order CDR Cntl,16'h0201,,
30.386.15:11,Reserved,R,,
30.386.10:8,CDR2 config,RW,000=10K UI; 001=20K UI; 010=40K UI; 011=80K UI; 100=160K UI;,"These 3 bits provide a coded select of 5 sets of (measurement interval width, the threshold count for accumulated PI steps before a change is made to the 2nd order CDR state and a threshold of inc/dec counts within the window interval prior to declaring loss of link).  In all cases, the RXD hardware automatically adjusts these numbers for different PI resolution selection."
30.386.7:1,Reserved,R,,
30.386.0,CDR2 Enable,RW,0=disable; 1=enable,Enable/Disable 2nd order CDR
R30.642,25G Rx1 2nd Order CDR Cntl,16'h0201,,
30.642.15:11,Reserved,R,,
30.642.10:8,CDR2 config,RW,000=10K UI; 001=20K UI; 010=40K UI; 011=80K UI; 100=160K UI;,"These 3 bits provide a coded select of 5 sets of (measurement interval width, the threshold count for accumulated PI steps before a change is made to the 2nd order CDR state and a threshold of inc/dec counts within the window interval prior to declaring loss of link).  In all cases, the RXD hardware automatically adjusts these numbers for different PI resolution selection."
30.642.7:1,Reserved,R,,
30.642.0,CDR2 Enable,RW,0=disable; 1=enable,Enable/Disable 2nd order CDR
R30.898,25G Rx2 2nd Order CDR Cntl,16'h0201,,
30.898.15:11,Reserved,R,,
30.898.10:8,CDR2 config,RW,000=10K UI; 001=20K UI; 010=40K UI; 011=80K UI; 100=160K UI;,"These 3 bits provide a coded select of 5 sets of (measurement interval width, the threshold count for accumulated PI steps before a change is made to the 2nd order CDR state and a threshold of inc/dec counts within the window interval prior to declaring loss of link).  In all cases, the RXD hardware automatically adjusts these numbers for different PI resolution selection."
30.898.7:1,Reserved,R,,
30.898.0,CDR2 Enable,RW,0=disable; 1=enable,Enable/Disable 2nd order CDR
R30.1154,25G Rx3 2nd Order CDR Cntl,16'h0201,,
30.1154.15:11,Reserved,R,,
30.1154.10:8,CDR2 config,RW,000=10K UI; 001=20K UI; 010=40K UI; 011=80K UI; 100=160K UI;,"These 3 bits provide a coded select of 5 sets of (measurement interval width, the threshold count for accumulated PI steps before a change is made to the 2nd order CDR state and a threshold of inc/dec counts within the window interval prior to declaring loss of link).  In all cases, the RXD hardware automatically adjusts these numbers for different PI resolution selection."
30.1154.7:1,Reserved,R,,
30.1154.0,CDR2 Enable,RW,0=disable; 1=enable,Enable/Disable 2nd order CDR
R30.387,25G Rx Lane 0 Eq Control,16'h0405,,
30.387.15:12,Voting Offset,RW,,This field selects a voting offset used in the receive equalization algorithm.  The default value of zero selects no voting offset.  The offset value used is scaled by the selected voting window (period).
30.387.11:10,Threshold ,RW,,This field selects the threshold used in the receive equalization algorithm.  The threshold value used is scaled by the selected voting window (period).
30.387.9:8,Voting Window,RW,00 = 80K UI; 01 = 160K UI;  10 = 320K UI; 11 = 640K UI;,This field selects the time window (period) used by the receive equalization algorithm.
30.387.7:3,Reserved,R,,
30.387.2:1,RxEq Adaptive Threshold Mode,RW,00 = Threshold adaptation disabled; 01 = Continuous threshold adaptation ; 10 = One-shot mode-A adaptation; 11 = One-shot mode-B adaptation;,"This field selects the threshold adaption mode: 00 = Threshold adaptation disabled; 01 = Continuous threshold adaptation - Threshold adaptation is always active; 10 = One-shot mode-A adaptation - Once stable state is reached, threshold value is increased by 2*value in Table 60, and threshold adaptation is disabled; 11 = One-shot mode-B adaptation - as Mode-A, but increase by 4*value"
30.387.0,Eq adapt enable,RW,0=disable; 1=enable,"Set to '1' to enable the equalizer adaptation. Set to '0' to turn off equalizer adaptation. The user can freely write this bit to '0' or '1' to freeze/lock the currently adapted state of the equalizer or to (re)enable the adaptive behavior, respectively"
R30.643,25G Rx Lane 1 Eq Control,16'h0405,,
30.643.15:12,Voting Offset,RW,,This field selects a voting offset used in the receive equalization algorithm.  The default value of zero selects no voting offset.  The offset value used is scaled by the selected voting window (period).
30.643.11:10,Threshold ,RW,,This field selects the threshold used in the receive equalization algorithm.  The threshold value used is scaled by the selected voting window (period).
30.643.9:8,Voting Window,RW,00 = 80K UI; 01 = 160K UI;  10 = 320K UI; 11 = 640K UI;,This field selects the time window (period) used by the receive equalization algorithm.
30.643.7:3,Reserved,R,,
30.643.2:1,RxEq Adaptive Threshold Mode,RW,00 = Threshold adaptation disabled; 01 = Continuous threshold adaptation ; 10 = One-shot mode-A adaptation; 11 = One-shot mode-B adaptation;,"This field selects the threshold adaption mode: 00 = Threshold adaptation disabled; 01 = Continuous threshold adaptation - Threshold adaptation is always active; 10 = One-shot mode-A adaptation - Once stable state is reached, threshold value is increased by 2*value in Table 60, and threshold adaptation is disabled; 11 = One-shot mode-B adaptation - as Mode-A, but increase by 4*value"
30.643.0,Eq adapt enable,RW,0=disable; 1=enable,"Set to '1' to enable the equalizer adaptation. Set to '0' to turn off equalizer adaptation. The user can freely write this bit to '0' or '1' to freeze/lock the currently adapted state of the equalizer or to (re)enable the adaptive behavior, respectively"
R30.899,25G Rx Lane 2 Eq Control,16'h0405,,
30.899.15:12,Voting Offset,RW,,This field selects a voting offset used in the receive equalization algorithm.  The default value of zero selects no voting offset.  The offset value used is scaled by the selected voting window (period).
30.899.11:10,Threshold ,RW,,This field selects the threshold used in the receive equalization algorithm.  The threshold value used is scaled by the selected voting window (period).
30.899.9:8,Voting Window,RW,00 = 80K UI; 01 = 160K UI;  10 = 320K UI; 11 = 640K UI;,This field selects the time window (period) used by the receive equalization algorithm.
30.899.7:3,Reserved,R,,
30.899.2:1,RxEq Adaptive Threshold Mode,RW,00 = Threshold adaptation disabled; 01 = Continuous threshold adaptation ; 10 = One-shot mode-A adaptation; 11 = One-shot mode-B adaptation;,"This field selects the threshold adaption mode: 00 = Threshold adaptation disabled; 01 = Continuous threshold adaptation - Threshold adaptation is always active; 10 = One-shot mode-A adaptation - Once stable state is reached, threshold value is increased by 2*value in Table 60, and threshold adaptation is disabled; 11 = One-shot mode-B adaptation - as Mode-A, but increase by 4*value"
30.899.0,Eq adapt enable,RW,0=disable; 1=enable,"Set to '1' to enable the equalizer adaptation. Set to '0' to turn off equalizer adaptation. The user can freely write this bit to '0' or '1' to freeze/lock the currently adapted state of the equalizer or to (re)enable the adaptive behavior, respectively"
R30.1155,25G Rx Lane 3 Eq Control,16'h0405,,
30.1155.15:12,Voting Offset,RW,,This field selects a voting offset used in the receive equalization algorithm.  The default value of zero selects no voting offset.  The offset value used is scaled by the selected voting window (period).
30.1155.11:10,Threshold ,RW,,This field selects the threshold used in the receive equalization algorithm.  The threshold value used is scaled by the selected voting window (period).
30.1155.9:8,Voting Window,RW,00 = 80K UI; 01 = 160K UI;  10 = 320K UI; 11 = 640K UI;,This field selects the time window (period) used by the receive equalization algorithm.
30.1155.7:3,Reserved,R,,
30.1155.2:1,RxEq Adaptive Threshold Mode,RW,00 = Threshold adaptation disabled; 01 = Continuous threshold adaptation ; 10 = One-shot mode-A adaptation; 11 = One-shot mode-B adaptation;,"This field selects the threshold adaption mode: 00 = Threshold adaptation disabled; 01 = Continuous threshold adaptation - Threshold adaptation is always active; 10 = One-shot mode-A adaptation - Once stable state is reached, threshold value is increased by 2*value in Table 60, and threshold adaptation is disabled; 11 = One-shot mode-B adaptation - as Mode-A, but increase by 4*value"
30.1155.0,Eq adapt enable,RW,0=disable; 1=enable,"Set to '1' to enable the equalizer adaptation. Set to '0' to turn off equalizer adaptation. The user can freely write this bit to '0' or '1' to freeze/lock the currently adapted state of the equalizer or to (re)enable the adaptive behavior, respectively"
R30.388,25G Rx Lane 0 Misc Trim,16'h7577,,
30.388.15:12,ODT Trim,RW,0000=0000;0001=0001;0011=0011;0111=0111;1111=1111,On Die Termination Trim
30.388.11,Reserved,R,,
30.388.10,CM adjust enable,RW,,This field enables Common Mode voltage adjustment 
30.388.9:8,CM voltage control,RW,,"This field represents a binary code of the desired common mode voltage control. Although the bits in this field are binary coded, hardware expansion into an 3 bit thermo coded field take place downstream of this register before use."
30.388.7:4,PolyIndep7 PI BG Trim,RW,0000=0000;0001=0001;0010=0010;0011=0011;0100=0100;0101=0101;0110=0110;0111=0111;1000=1000;1001=1001;1010=1010;1011=1011;1100=1100;1101=1101;1110=1110;1111=1111,Controls trim for interpolator bandgap
30.388.3:0,Polydep5-Reg BG Trim,RW,0000=0000;0001=0001;0010=0010;0011=0011;0100=0100;0101=0101;0110=0110;0111=0111;1000=1000;1001=1001;1010=1010;1011=1011;1100=1100;1101=1101;1110=1110;1111=1111,Controls trim for regulator bandgap
R30.644,25G Rx Lane 1 Misc Trim,16'h7577,,
30.644.15:12,ODT Trim,RW,0000=0000;0001=0001;0011=0011;0111=0111;1111=1111,On Die Termination Trim
30.644.11,Reserved,R,,
30.644.10,CM adjust enable,RW,,This field enables Common Mode voltage adjustment 
30.644.9:8,CM voltage control,RW,,"This field represents a binary code of the desired common mode voltage control. Although the bits in this field are binary coded, hardware expansion into an 3 bit thermo coded field take place downstream of this register before use."
30.644.7:4,PolyIndep7 PI BG Trim,RW,0000=0000;0001=0001;0010=0010;0011=0011;0100=0100;0101=0101;0110=0110;0111=0111;1000=1000;1001=1001;1010=1010;1011=1011;1100=1100;1101=1101;1110=1110;1111=1111,Controls trim for interpolator bandgap
30.644.3:0,Polydep5-Reg BG Trim,RW,0000=0000;0001=0001;0010=0010;0011=0011;0100=0100;0101=0101;0110=0110;0111=0111;1000=1000;1001=1001;1010=1010;1011=1011;1100=1100;1101=1101;1110=1110;1111=1111,Controls trim for regulator bandgap
R30.900,25G Rx Lane 2 Misc Trim,16'h7577,,
30.900.15:12,ODT Trim,RW,0000=0000;0001=0001;0011=0011;0111=0111;1111=1111,On Die Termination Trim
30.900.11,Reserved,R,,
30.900.10,CM adjust enable,RW,,This field enables Common Mode voltage adjustment 
30.900.9:8,CM voltage control,RW,,"This field represents a binary code of the desired common mode voltage control. Although the bits in this field are binary coded, hardware expansion into an 3 bit thermo coded field take place downstream of this register before use."
30.900.7:4,PolyIndep7 PI BG Trim,RW,0000=0000;0001=0001;0010=0010;0011=0011;0100=0100;0101=0101;0110=0110;0111=0111;1000=1000;1001=1001;1010=1010;1011=1011;1100=1100;1101=1101;1110=1110;1111=1111,Controls trim for interpolator bandgap
30.900.3:0,Polydep5-Reg BG Trim,RW,0000=0000;0001=0001;0010=0010;0011=0011;0100=0100;0101=0101;0110=0110;0111=0111;1000=1000;1001=1001;1010=1010;1011=1011;1100=1100;1101=1101;1110=1110;1111=1111,Controls trim for regulator bandgap
R30.1156,25G Rx Lane 3 Misc Trim,16'h7577,,
30.1156.15:12,ODT Trim,RW,0000=0000;0001=0001;0011=0011;0111=0111;1111=1111,On Die Termination Trim
30.1156.11,Reserved,R,,
30.1156.10,CM adjust enable,RW,,This field enables Common Mode voltage adjustment 
30.1156.9:8,CM voltage control,RW,,"This field represents a binary code of the desired common mode voltage control. Although the bits in this field are binary coded, hardware expansion into an 3 bit thermo coded field take place downstream of this register before use."
30.1156.7:4,PolyIndep7 PI BG Trim,RW,0000=0000;0001=0001;0010=0010;0011=0011;0100=0100;0101=0101;0110=0110;0111=0111;1000=1000;1001=1001;1010=1010;1011=1011;1100=1100;1101=1101;1110=1110;1111=1111,Controls trim for interpolator bandgap
30.1156.3:0,Polydep5-Reg BG Trim,RW,0000=0000;0001=0001;0010=0010;0011=0011;0100=0100;0101=0101;0110=0110;0111=0111;1000=1000;1001=1001;1010=1010;1011=1011;1100=1100;1101=1101;1110=1110;1111=1111,Controls trim for regulator bandgap
R30.391,25G Rx Lane 0 Eye Scan Ctl 1,16'h0000,,
30.391.7:3,Eyescan sense amp offset correction[7:0],R,,This value is read only and represents the sense amp offset correction value for the sense amplifier that will be used for eyescan.
30.391.2:1,Reserved,R,,
30.391.0,Eyescan enable,RW,0=disable; 1=enable,Set to '1' to enable the eyescan
R30.647,25G Rx Lane 1 Eye Scan Ctl 1,16'h0000,,
30.647.7:3,Eyescan sense amp offset correction[7:0],R,,This value is read only and represents the sense amp offset correction value for the sense amplifier that will be used for eyescan.
30.647.2:1,Reserved,R,,
30.647.0,Eyescan enable,RW,0=disable; 1=enable,Set to '1' to enable the eyescan
R30.903,25G Rx Lane 2 Eye Scan Ctl 1,16'h0000,,
30.903.7:3,Eyescan sense amp offset correction[7:0],R,,This value is read only and represents the sense amp offset correction value for the sense amplifier that will be used for eyescan.
30.903.2:1,Reserved,R,,
30.903.0,Eyescan enable,RW,0=disable; 1=enable,Set to '1' to enable the eyescan
R30.1159,25G Rx Lane 3 Eye Scan Ctl 1,16'h0000,,
30.1159.7:3,Eyescan sense amp offset correction[7:0],R,,This value is read only and represents the sense amp offset correction value for the sense amplifier that will be used for eyescan.
30.1159.2:1,Reserved,R,,
30.1159.0,Eyescan enable,RW,0=disable; 1=enable,Set to '1' to enable the eyescan
R30.392,25G Rx Lane 0 Eye Scan Ctl 2,16'h0000,,
30.392.15:8,Eyescan Vertical offset control,RW,,This field indicates the vertical (voltage) eyescan offset.  There are 256 vertical offset steps available. A value of 8'h00 provides the lowest (most negative) offset. A value of 8'hFF provides the highest (most positive) offset.
30.392.7,Eyescan horizontal offset direction control,RW,0=earlier;1=later,"This 1 bit field is written by the user to specify the offset direction from the ideal CDR determined X dimension (time) sampling position.  When this bit is = 1, the direction of offset is to the right of the eye centre (later in time).  When this bit is = 0, the direction of offset is to the left of the eye centre (earlier in time)."
30.392.6:0,Eyescan horizontal offset control,RW,,This 7 bit field is written by the user to specify the offset from the ideal CDR determined X dimension (time) sampling position.
R30.648,25G Rx Lane 1 Eye Scan Ctl 2,16'h0000,,
30.648.15:8,Eyescan Vertical offset control,RW,,This field indicates the vertical (voltage) eyescan offset.  There are 256 vertical offset steps available. A value of 8'h00 provides the lowest (most negative) offset. A value of 8'hFF provides the highest (most positive) offset.
30.648.7,Eyescan horizontal offset direction control,RW,0=earlier;1=later,"This 1 bit field is written by the user to specify the offset direction from the ideal CDR determined X dimension (time) sampling position.  When this bit is = 1, the direction of offset is to the right of the eye centre (later in time).  When this bit is = 0, the direction of offset is to the left of the eye centre (earlier in time)."
30.648.6:0,Eyescan horizontal offset control,RW,,This 7 bit field is written by the user to specify the offset from the ideal CDR determined X dimension (time) sampling position.
R30.904,25G Rx Lane 2 Eye Scan Ctl 2,16'h0000,,
30.904.15:8,Eyescan Vertical offset control,RW,,This field indicates the vertical (voltage) eyescan offset.  There are 256 vertical offset steps available. A value of 8'h00 provides the lowest (most negative) offset. A value of 8'hFF provides the highest (most positive) offset.
30.904.7,Eyescan horizontal offset direction control,RW,0=earlier;1=later,"This 1 bit field is written by the user to specify the offset direction from the ideal CDR determined X dimension (time) sampling position.  When this bit is = 1, the direction of offset is to the right of the eye centre (later in time).  When this bit is = 0, the direction of offset is to the left of the eye centre (earlier in time)."
30.904.6:0,Eyescan horizontal offset control,RW,,This 7 bit field is written by the user to specify the offset from the ideal CDR determined X dimension (time) sampling position.
R30.1160,25G Rx Lane 3 Eye Scan Ctl 2,16'h0000,,
30.1160.15:8,Eyescan Vertical offset control,RW,,This field indicates the vertical (voltage) eyescan offset.  There are 256 vertical offset steps available. A value of 8'h00 provides the lowest (most negative) offset. A value of 8'hFF provides the highest (most positive) offset.
30.1160.7,Eyescan horizontal offset direction control,RW,0=earlier;1=later,"This 1 bit field is written by the user to specify the offset direction from the ideal CDR determined X dimension (time) sampling position.  When this bit is = 1, the direction of offset is to the right of the eye centre (later in time).  When this bit is = 0, the direction of offset is to the left of the eye centre (earlier in time)."
30.1160.6:0,Eyescan horizontal offset control,RW,,This 7 bit field is written by the user to specify the offset from the ideal CDR determined X dimension (time) sampling position.
R30.393,25G Rx Lane 0 Eye Sc Results,16'h0000,,
30.393.15:0,Eyescan compare results,R,,Number of eyescan mis-compares per 64K bits received for each setting of interpolator & eyescan vertical offset.  This field provides a binary count of the number mis-compares between the eye-scan receiver and the normal data receiver over a period of 64K bits 
R30.649,25G Rx Lane 1 Eye Sc Results,16'h0000,,
30.649.15:0,Eyescan compare results,R,,Number of eyescan mis-compares per 64K bits received for each setting of interpolator & eyescan vertical offset.  This field provides a binary count of the number mis-compares between the eye-scan receiver and the normal data receiver over a period of 64K bits 
R30.905,25G Rx Lane 2 Eye Sc Results,16'h0000,,
30.905.15:0,Eyescan compare results,R,,Number of eyescan mis-compares per 64K bits received for each setting of interpolator & eyescan vertical offset.  This field provides a binary count of the number mis-compares between the eye-scan receiver and the normal data receiver over a period of 64K bits 
R30.1161,25G Rx Lane 3 Eye Sc Results,16'h0000,,
30.1161.15:0,Eyescan compare results,R,,Number of eyescan mis-compares per 64K bits received for each setting of interpolator & eyescan vertical offset.  This field provides a binary count of the number mis-compares between the eye-scan receiver and the normal data receiver over a period of 64K bits 
R30.394,25G Rx Lane 0 PI Control 0,16'h0008,,
30.394.15:9,Reserved,R,,
30.394.8,PI Power down,RW,0=power up; 1=power down,
30.394.7:4,Reserved,R,,
30.394.3:0,PI Bias Adjust,RW,,
R30.650,25G Rx Lane 1 PI Control 0,16'h0008,,
30.650.15:9,Reserved,R,,
30.650.8,PI Power down,RW,0=power up; 1=power down,
30.650.7:4,Reserved,R,,
30.650.3:0,PI Bias Adjust,RW,,
R30.906,25G Rx Lane 2 PI Control 0,16'h0008,,
30.906.15:9,Reserved,R,,
30.906.8,PI Power down,RW,0=power up; 1=power down,
30.906.7:4,Reserved,R,,
30.906.3:0,PI Bias Adjust,RW,,
R30.1162,25G Rx Lane 3 PI Control 0,16'h0008,,
30.1162.15:9,Reserved,R,,
30.1162.8,PI Power down,RW,0=power up; 1=power down,
30.1162.7:4,Reserved,R,,
30.1162.3:0,PI Bias Adjust,RW,,
R30.416,25G Rx Lane 0 PI Control 1,16'h0000,,
30.416.15:14,PI 3 quadrant ,RW,,Phase Interpolator 3 quadrant override
30.416.13:12,PI 2 quadrant,RW,,Phase Interpolator 2 quadrant override
30.416.11:10,PI 1 quadrant,RW,,Phase Interpolator 1 quadrant override
30.416.9:8,PI 0 quadrant,RW,,Phase Interpolator 0 quadrant override
30.416.7:2,Reserved,R,,
30.416.1,PI Lock,RW,0=unlock; 1=lock;,Set this bit = '1' to lock the interpolator. This will stop the CDR algorithm and hence the interpolator adjusting to the incoming data stream. 
30.416.0,PI Code Override,RW,,Set this bit = '1' to force the contents of PI quadrant and PI offset to control the interpolator code under MDIO control. There are some restrictions on accessing this bit.
R30.672,25G Rx Lane 1 PI Control 1,16'h0000,,
30.672.15:14,PI 3 quadrant ,RW,,Phase Interpolator 3 quadrant override
30.672.13:12,PI 2 quadrant,RW,,Phase Interpolator 2 quadrant override
30.672.11:10,PI 1 quadrant,RW,,Phase Interpolator 1 quadrant override
30.672.9:8,PI 0 quadrant,RW,,Phase Interpolator 0 quadrant override
30.672.7:2,Reserved,R,,
30.672.1,PI Lock,RW,0=unlock; 1=lock;,Set this bit = '1' to lock the interpolator. This will stop the CDR algorithm and hence the interpolator adjusting to the incoming data stream. 
30.672.0,PI Code Override,RW,,Set this bit = '1' to force the contents of PI quadrant and PI offset to control the interpolator code under MDIO control. There are some restrictions on accessing this bit.
R30.928,25G Rx Lane 2 PI Control 1,16'h0000,,
30.928.15:14,PI 3 quadrant ,RW,,Phase Interpolator 3 quadrant override
30.928.13:12,PI 2 quadrant,RW,,Phase Interpolator 2 quadrant override
30.928.11:10,PI 1 quadrant,RW,,Phase Interpolator 1 quadrant override
30.928.9:8,PI 0 quadrant,RW,,Phase Interpolator 0 quadrant override
30.928.7:2,Reserved,R,,
30.928.1,PI Lock,RW,0=unlock; 1=lock;,Set this bit = '1' to lock the interpolator. This will stop the CDR algorithm and hence the interpolator adjusting to the incoming data stream. 
30.928.0,PI Code Override,RW,,Set this bit = '1' to force the contents of PI quadrant and PI offset to control the interpolator code under MDIO control. There are some restrictions on accessing this bit.
R30.1184,25G Rx Lane 3 PI Control 1,16'h0000,,
30.1184.15:14,PI 3 quadrant ,RW,,Phase Interpolator 3 quadrant override
30.1184.13:12,PI 2 quadrant,RW,,Phase Interpolator 2 quadrant override
30.1184.11:10,PI 1 quadrant,RW,,Phase Interpolator 1 quadrant override
30.1184.9:8,PI 0 quadrant,RW,,Phase Interpolator 0 quadrant override
30.1184.7:2,Reserved,R,,
30.1184.1,PI Lock,RW,0=unlock; 1=lock;,Set this bit = '1' to lock the interpolator. This will stop the CDR algorithm and hence the interpolator adjusting to the incoming data stream. 
30.1184.0,PI Code Override,RW,,Set this bit = '1' to force the contents of PI quadrant and PI offset to control the interpolator code under MDIO control. There are some restrictions on accessing this bit.
R30.417,25G Rx Lane 0 PI Control 2,16'h0000,,
30.417.15:8,PI offset Override #1[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table These bits allow the PI code for interpolator #1 to be overridden"
30.417.7:0,PI offset Override #0[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table. These bits allow the PI code for interpolator #0 to be overridden"
R30.673,25G Rx Lane 1 PI Control 2,16'h0000,,
30.673.15:8,PI offset Override #1[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table These bits allow the PI code for interpolator #1 to be overridden"
30.673.7:0,PI offset Override #0[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table. These bits allow the PI code for interpolator #0 to be overridden"
R30.929,25G Rx Lane 2 PI Control 2,16'h0000,,
30.929.15:8,PI offset Override #1[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table These bits allow the PI code for interpolator #1 to be overridden"
30.929.7:0,PI offset Override #0[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table. These bits allow the PI code for interpolator #0 to be overridden"
R30.1185,25G Rx Lane 3 PI Control 2,16'h0000,,
30.1185.15:8,PI offset Override #1[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table These bits allow the PI code for interpolator #1 to be overridden"
30.1185.7:0,PI offset Override #0[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table. These bits allow the PI code for interpolator #0 to be overridden"
R30.418,25G Rx Lane 0 PI Control 3,16'h0000,,
30.418.15:8,PI offset Override #3[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table These bits allow the PI code for interpolator #3 to be overridden"
30.418.7:0,PI offset Override #2[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table. These bits allow the PI code for interpolator #2 to be overridden"
R30.674,25G Rx Lane 1 PI Control 3,16'h0000,,
30.674.15:8,PI offset Override #3[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table These bits allow the PI code for interpolator #3 to be overridden"
30.674.7:0,PI offset Override #2[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table. These bits allow the PI code for interpolator #2 to be overridden"
R30.930,25G Rx Lane 2 PI Control 3,16'h0000,,
30.930.15:8,PI offset Override #3[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table These bits allow the PI code for interpolator #3 to be overridden"
30.930.7:0,PI offset Override #2[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table. These bits allow the PI code for interpolator #2 to be overridden"
