!,,,,
! ----------------------------------------------------------------------------------------------,,,,
!,,,,
! Revision 0.0  2012-09-17 Andre ,,,,
! GB2 Initial version,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
# Addr,Name,Def/mask,SubDes,Des
,,,,
R8.0,PMA Control 1 ,16'h204C,,
30.6016.0,Swap RXP/N,RW,0=disable; 1=enable,"Assert this bit to enable inversion of the data presented at RXP/N.  This can be helpful to accommodate board route swapping for actual RXP/N via MDIO SW control.  This swapping manifests itself as a inversion of data and so, in practice this inversion is provided inside the digital section of the receiver. "
,,,,
R30.6272,Optical Rx Lane 8 Main Control,16'h0000,,
30.6272.15:3,Reserved,R,,
30.6272.2,Autozero Complete,R,,"Upon beginning the autozero process, the ‘Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.6272.1,Force Autozero Start,RW,0=disable; 1=enable,"Assert this bit to begin the automatic internal sense amp offset autozero function.  Specifically, it is the ‘0' -> ‘1' transition of this bit that will initiate the autozero process.  It will be necessary to  write back to ‘0' and then to ‘1' again in a separate write event to re-initiate the autozero process.  Upon beginning the autozero process, the ‘Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.6272.0,Swap RXP/N,RW,0=disable; 1=enable,"Assert this bit to enable inversion of the data presented at RXP/N.  This can be helpful to accommodate board route swapping for actual RXP/N via MDIO SW control.  This swapping manifests itself as a inversion of data and so, in practice this inversion is provided inside the digital section of the receiver. "
,,,,
R30.6528,Optical Rx Lane 9 Main Control,16'h0000,,
30.6528.15:3,Reserved,R,,
30.6528.2,Autozero Complete,R,,"Upon beginning the autozero process, the ‘Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.6528.1,Force Autozero Start,RW,0=disable; 1=enable,"Assert this bit to begin the automatic internal sense amp offset autozero function.  Specifically, it is the ‘0' -> ‘1' transition of this bit that will initiate the autozero process.  It will be necessary to  write back to ‘0' and then to ‘1' again in a separate write event to re-initiate the autozero process.  Upon beginning the autozero process, the ‘Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.6528.0,Swap RXP/N,RW,0=disable; 1=enable,"Assert this bit to enable inversion of the data presented at RXP/N.  This can be helpful to accommodate board route swapping for actual RXP/N via MDIO SW control.  This swapping manifests itself as a inversion of data and so, in practice this inversion is provided inside the digital section of the receiver. "
,,,,
R30.8320,Host Rx Lane 0 Main Control,16'h0000,,
30.8320.15:3,Reserved,R,,
30.8320.2,Autozero Complete,R,,"Upon beginning the autozero process, the ‘Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.8320.1,Force Autozero Start,RW,0=disable; 1=enable,"Assert this bit to begin the automatic internal sense amp offset autozero function.  Specifically, it is the ‘0' -> ‘1' transition of this bit that will initiate the autozero process.  It will be necessary to  write back to ‘0' and then to ‘1' again in a separate write event to re-initiate the autozero process.  Upon beginning the autozero process, the ‘Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.8320.0,Swap RXP/N,RW,0=disable; 1=enable,"Assert this bit to enable inversion of the data presented at RXP/N.  This can be helpful to accommodate board route swapping for actual RXP/N via MDIO SW control.  This swapping manifests itself as a inversion of data and so, in practice this inversion is provided inside the digital section of the receiver. "
,,,,
R30.8576,Host Rx Lane 1 Main Control,16'h0000,,
30.8576.15:3,Reserved,R,,
30.8576.2,Autozero Complete,R,,"Upon beginning the autozero process, the ‘Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.8576.1,Force Autozero Start,RW,0=disable; 1=enable,"Assert this bit to begin the automatic internal sense amp offset autozero function.  Specifically, it is the ‘0' -> ‘1' transition of this bit that will initiate the autozero process.  It will be necessary to  write back to ‘0' and then to ‘1' again in a separate write event to re-initiate the autozero process.  Upon beginning the autozero process, the ‘Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.8576.0,Swap RXP/N,RW,0=disable; 1=enable,"Assert this bit to enable inversion of the data presented at RXP/N.  This can be helpful to accommodate board route swapping for actual RXP/N via MDIO SW control.  This swapping manifests itself as a inversion of data and so, in practice this inversion is provided inside the digital section of the receiver. "
,,,,
R30.8832,Host Rx Lane 2 Main Control,16'h0000,,
30.8832.15:3,Reserved,R,,
30.8832.2,Autozero Complete,R,,"Upon beginning the autozero process, the ‘Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.8832.1,Force Autozero Start,RW,0=disable; 1=enable,"Assert this bit to begin the automatic internal sense amp offset autozero function.  Specifically, it is the ‘0' -> ‘1' transition of this bit that will initiate the autozero process.  It will be necessary to  write back to ‘0' and then to ‘1' again in a separate write event to re-initiate the autozero process.  Upon beginning the autozero process, the ‘Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.8832.0,Swap RXP/N,RW,0=disable; 1=enable,"Assert this bit to enable inversion of the data presented at RXP/N.  This can be helpful to accommodate board route swapping for actual RXP/N via MDIO SW control.  This swapping manifests itself as a inversion of data and so, in practice this inversion is provided inside the digital section of the receiver. "
,,,,
R30.9088,Host Rx Lane 3 Main Control,16'h0000,,
30.9088.15:3,Reserved,R,,
30.9088.2,Autozero Complete,R,,"Upon beginning the autozero process, the ‘Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.9088.1,Force Autozero Start,RW,0=disable; 1=enable,"Assert this bit to begin the automatic internal sense amp offset autozero function.  Specifically, it is the ‘0' -> ‘1' transition of this bit that will initiate the autozero process.  It will be necessary to  write back to ‘0' and then to ‘1' again in a separate write event to re-initiate the autozero process.  Upon beginning the autozero process, the ‘Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.9088.0,Swap RXP/N,RW,0=disable; 1=enable,"Assert this bit to enable inversion of the data presented at RXP/N.  This can be helpful to accommodate board route swapping for actual RXP/N via MDIO SW control.  This swapping manifests itself as a inversion of data and so, in practice this inversion is provided inside the digital section of the receiver. "
,,,,
R30.9344,Host Rx Lane 4 Main Control,16'h0000,,
30.9344.15:3,Reserved,R,,
30.9344.2,Autozero Complete,R,,"Upon beginning the autozero process, the ‘Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.9344.1,Force Autozero Start,RW,0=disable; 1=enable,"Assert this bit to begin the automatic internal sense amp offset autozero function.  Specifically, it is the ‘0' -> ‘1' transition of this bit that will initiate the autozero process.  It will be necessary to  write back to ‘0' and then to ‘1' again in a separate write event to re-initiate the autozero process.  Upon beginning the autozero process, the ‘Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.9344.0,Swap RXP/N,RW,0=disable; 1=enable,"Assert this bit to enable inversion of the data presented at RXP/N.  This can be helpful to accommodate board route swapping for actual RXP/N via MDIO SW control.  This swapping manifests itself as a inversion of data and so, in practice this inversion is provided inside the digital section of the receiver. "
,,,,
R30.9600,Host Rx Lane 5 Main Control,16'h0000,,
30.9600.15:3,Reserved,R,,
30.9600.2,Autozero Complete,R,,"Upon beginning the autozero process, the ‘Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.9600.1,Force Autozero Start,RW,0=disable; 1=enable,"Assert this bit to begin the automatic internal sense amp offset autozero function.  Specifically, it is the ‘0' -> ‘1' transition of this bit that will initiate the autozero process.  It will be necessary to  write back to ‘0' and then to ‘1' again in a separate write event to re-initiate the autozero process.  Upon beginning the autozero process, the ‘Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.9600.0,Swap RXP/N,RW,0=disable; 1=enable,"Assert this bit to enable inversion of the data presented at RXP/N.  This can be helpful to accommodate board route swapping for actual RXP/N via MDIO SW control.  This swapping manifests itself as a inversion of data and so, in practice this inversion is provided inside the digital section of the receiver. "
,,,,
R30.9856,Host Rx Lane 6 Main Control,16'h0000,,
30.9856.15:3,Reserved,R,,
30.9856.2,Autozero Complete,R,,"Upon beginning the autozero process, the ‘Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.9856.1,Force Autozero Start,RW,0=disable; 1=enable,"Assert this bit to begin the automatic internal sense amp offset autozero function.  Specifically, it is the ‘0' -> ‘1' transition of this bit that will initiate the autozero process.  It will be necessary to  write back to ‘0' and then to ‘1' again in a separate write event to re-initiate the autozero process.  Upon beginning the autozero process, the ‘Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.9856.0,Swap RXP/N,RW,0=disable; 1=enable,"Assert this bit to enable inversion of the data presented at RXP/N.  This can be helpful to accommodate board route swapping for actual RXP/N via MDIO SW control.  This swapping manifests itself as a inversion of data and so, in practice this inversion is provided inside the digital section of the receiver. "
,,,,
R30.10112,Host Rx Lane 7 Main Control,16'h0000,,
30.10112.15:3,Reserved,R,,
30.10112.2,Autozero Complete,R,,"Upon beginning the autozero process, the ‘Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.10112.1,Force Autozero Start,RW,0=disable; 1=enable,"Assert this bit to begin the automatic internal sense amp offset autozero function.  Specifically, it is the ‘0' -> ‘1' transition of this bit that will initiate the autozero process.  It will be necessary to  write back to ‘0' and then to ‘1' again in a separate write event to re-initiate the autozero process.  Upon beginning the autozero process, the ‘Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.10112.0,Swap RXP/N,RW,0=disable; 1=enable,"Assert this bit to enable inversion of the data presented at RXP/N.  This can be helpful to accommodate board route swapping for actual RXP/N via MDIO SW control.  This swapping manifests itself as a inversion of data and so, in practice this inversion is provided inside the digital section of the receiver. "
,,,,
R30.10368,Host Rx Lane 8 Main Control,16'h0000,,
30.10368.15:3,Reserved,R,,
30.10368.2,Autozero Complete,R,,"Upon beginning the autozero process, the ‘Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.10368.1,Force Autozero Start,RW,0=disable; 1=enable,"Assert this bit to begin the automatic internal sense amp offset autozero function.  Specifically, it is the ‘0' -> ‘1' transition of this bit that will initiate the autozero process.  It will be necessary to  write back to ‘0' and then to ‘1' again in a separate write event to re-initiate the autozero process.  Upon beginning the autozero process, the ‘Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.10368.0,Swap RXP/N,RW,0=disable; 1=enable,"Assert this bit to enable inversion of the data presented at RXP/N.  This can be helpful to accommodate board route swapping for actual RXP/N via MDIO SW control.  This swapping manifests itself as a inversion of data and so, in practice this inversion is provided inside the digital section of the receiver. "
,,,,
R30.10624,Host Rx Lane 9 Main Control,16'h0000,,
30.10624.15:3,Reserved,R,,
30.10624.2,Autozero Complete,R,,"Upon beginning the autozero process, the ‘Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.10624.1,Force Autozero Start,RW,0=disable; 1=enable,"Assert this bit to begin the automatic internal sense amp offset autozero function.  Specifically, it is the ‘0' -> ‘1' transition of this bit that will initiate the autozero process.  It will be necessary to  write back to ‘0' and then to ‘1' again in a separate write event to re-initiate the autozero process.  Upon beginning the autozero process, the ‘Autozero Complete' readable status bit will be de-asserted.  It will reflect the current state of the autozero process  when any subsequent read access to address 00h is performed."
30.10624.0,Swap RXP/N,RW,0=disable; 1=enable,"Assert this bit to enable inversion of the data presented at RXP/N.  This can be helpful to accommodate board route swapping for actual RXP/N via MDIO SW control.  This swapping manifests itself as a inversion of data and so, in practice this inversion is provided inside the digital section of the receiver. "
,,,,
,,,,
,,,,
R30.4225,Optical Rx Lane 0 1st Order CDR Ctl,16'h0402,,
30.4225.15:11,Reserved,R,,
30.4225.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.4225.7,Reserved,R,,
30.4225.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.4481,Optical Rx Lane 1 1st Order CDR Ctl,16'h0402,,
30.4481.15:11,Reserved,R,,
30.4481.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.4481.7,Reserved,R,,
30.4481.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.4737,Optical Rx Lane 2 1st Order CDR Ctl,16'h0402,,
30.4737.15:11,Reserved,R,,
30.4737.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.4737.7,Reserved,R,,
30.4737.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.4993,Optical Rx Lane 3 1st Order CDR Ctl,16'h0402,,
30.4993.15:11,Reserved,R,,
30.4993.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.4993.7,Reserved,R,,
30.4993.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.5249,Optical Rx Lane 4 1st Order CDR Ctl,16'h0402,,
30.5249.15:11,Reserved,R,,
30.5249.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.5249.7,Reserved,R,,
30.5249.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.5505,Optical Rx Lane 5 1st Order CDR Ctl,16'h0402,,
30.5505.15:11,Reserved,R,,
30.5505.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.5505.7,Reserved,R,,
30.5505.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.5761,Optical Rx Lane 6 1st Order CDR Ctl,16'h0402,,
30.5761.15:11,Reserved,R,,
30.5761.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.5761.7,Reserved,R,,
30.5761.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.6017,Optical Rx Lane 7 1st Order CDR Ctl,16'h0402,,
30.6017.15:11,Reserved,R,,
30.6017.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.6017.7,Reserved,R,,
30.6017.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.6273,Optical Rx Lane 8 1st Order CDR Ctl,16'h0402,,
30.6273.15:11,Reserved,R,,
30.6273.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.6273.7,Reserved,R,,
30.6273.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.6529,Optical Rx Lane 9 1st Order CDR Ctl,16'h0402,,
30.6529.15:11,Reserved,R,,
30.6529.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.6529.7,Reserved,R,,
30.6529.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.8321,Host Rx Lane 0 1st Order CDR Ctl,16'h0402,,
30.8321.15:11,Reserved,R,,
30.8321.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.8321.7,Reserved,R,,
30.8321.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.8577,Host Rx Lane 1 1st Order CDR Ctl,16'h0402,,
30.8577.15:11,Reserved,R,,
30.8577.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.8577.7,Reserved,R,,
30.8577.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.8833,Host Rx Lane 2 1st Order CDR Ctl,16'h0402,,
30.8833.15:11,Reserved,R,,
30.8833.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.8833.7,Reserved,R,,
30.8833.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.9089,Host Rx Lane 3 1st Order CDR Ctl,16'h0402,,
30.9089.15:11,Reserved,R,,
30.9089.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.9089.7,Reserved,R,,
30.9089.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.9345,Host Rx Lane 4 1st Order CDR Ctl,16'h0402,,
30.9345.15:11,Reserved,R,,
30.9345.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.9345.7,Reserved,R,,
30.9345.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.9601,Host Rx Lane 5 1st Order CDR Ctl,16'h0402,,
30.9601.15:11,Reserved,R,,
30.9601.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.9601.7,Reserved,R,,
30.9601.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.9857,Host Rx Lane 6 1st Order CDR Ctl,16'h0402,,
30.9857.15:11,Reserved,R,,
30.9857.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.9857.7,Reserved,R,,
30.9857.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.10113,Host Rx Lane 7 1st Order CDR Ctl,16'h0402,,
30.10113.15:11,Reserved,R,,
30.10113.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.10113.7,Reserved,R,,
30.10113.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.10369,Host Rx Lane 8 1st Order CDR Ctl,16'h0402,,
30.10369.15:11,Reserved,R,,
30.10369.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.10369.7,Reserved,R,,
30.10369.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
R30.10625,Host Rx Lane 9 1st Order CDR Ctl,16'h0402,,
30.10625.15:11,Reserved,R,,
30.10625.10:8,PI Resolution,RW,001=32 step; 010=64 step; 100=128 step;,This 3 bit field specifies the resolution for the phase interpolator. It is important to ensure that only 1 bit is set = ‘1' at any time.
30.10625.7,Reserved,R,,
30.10625.6:0,CDR1 Threshold,RW,0000001=8 votes; 0000010=16 votes; 0000100=24 votes; 0001000=32 votes; 0010000=40 votes; 0100000=48 votes; 1000000=56 votes; ,This 7 bit field specifies the first order CDR voting threshold. It is not coded. This field defines the number of up/down votes before a corresponding adjustment is requested to the phase interpolator to adjust the input data sampling position. It is important to ensure that only 1 bit is set = ‘1' at any time.
,,,,
,,,,
R30.4226,Optical Rx Lane 0 2nd Order CDR Ctl,16'h0402,,
30.4226.15:11,Reserved,R,,
30.4226.10:8,CDR2 config,RW,000=10K UI; 001=20K UI; 010=40K UI; 011=80K UI; 100=160K UI;,"These 3 bits provide a coded select of 5 sets of (measurement interval width, the threshold count for accumulated PI steps before a change is made to the 2nd order CDR state and a threshold of inc/dec counts within the window interval prior to declaring loss of link).  In all cases, the RXD hardware automatically adjusts these numbers for different PI resolution selection."
30.4226.7:1,Reserved,R,,
30.4226.0,CDR2 Enable,RW,0=disable; 1=enable,Enable/Disable 2nd order CDR
,,,,
R30.4482,Optical Rx Lane 1 2nd Order CDR Ctl,16'h0402,,
30.4482.15:11,Reserved,R,,
30.4482.10:8,CDR2 config,RW,000=10K UI; 001=20K UI; 010=40K UI; 011=80K UI; 100=160K UI;,"These 3 bits provide a coded select of 5 sets of (measurement interval width, the threshold count for accumulated PI steps before a change is made to the 2nd order CDR state and a threshold of inc/dec counts within the window interval prior to declaring loss of link).  In all cases, the RXD hardware automatically adjusts these numbers for different PI resolution selection."
30.4482.7:1,Reserved,R,,
30.4482.0,CDR2 Enable,RW,0=disable; 1=enable,Enable/Disable 2nd order CDR
,,,,
R30.4738,Optical Rx Lane 2 2nd Order CDR Ctl,16'h0402,,
