! $Header: /projects/wlv/iphy/sos/repository/iphy_A.rep/TEMP/lli_1316463935/#alidation#iphy-gui#dataconfig#iPHY100_B0_internal_MDIO.csv,v 1.4 2012-06-26 16:17:18-07 lli Exp $,,,
! $Log: #alidation#iphy-gui#dataconfig#iPHY100_B0_internal_MDIO.csv,v $
! Revision 1.4  2012-06-26 16:17:18-07  lli
! CHanged eror checker names from Tx to Rx
!,,,
! Revision 1.3  2012-06-25 10:29:55-07  lli,,,,
! Updated to match B0 Chip Behaviour,,,,
!,,,,
! Revision 1.2  2012-06-20 13:46:58-07  case,,,,
! Updated MDIo init and Error Inject to RW from W,,,,
!,,,,
! Revision 1.1  2012-06-20 11:26:13-07  case,,,,
! Inital release -- not checked,,,,
!,,,,
! Revision 1.4  2012-04-12 14:24:43-07  case,,,,
! Fixed SA offset control register description, defined registers 30.256.2:1 as reserved,,,
!,,,,
! Revision 1.3  2012-03-29 09:59:54-07  case,,,,
! defined CYA bit function correctly this time,,,,
!,,,,
! Revision 1.2  2012-03-27 16:40:19-07  case,,,,
! defined CYA bit functio,,,,
!,,,,
! Revision 1.1  2012-03-16 10:06:14-07  case,,,,
! updated and synchronized,,,,
!,,,,
! Revision 1.7  2011-12-01 14:23:13-08  case,,,,
! Added CYA register space,,,,
!,,,,
! Revision 1.6  2011-11-23 09:00:28-08  rward,,,,
! expanded trim bits,,,,
!,,,,
! Revision 1.3  2011-08-23 12:09:16-07  rbemra,,,,
! Corrected 11:8 = 4'b0101 of Rx 25G Misc Trim (per J. Sanders),,,,
!,,,,
! Revision 1.2  2011-08-18 09:16:48-07  rbemra,,,,
! Corrected 30.1540.0 <- 30.1540.1,,,,
!,,,,
! Revision 1.1  2011-08-08 10:48:07-07  rbemra,,,,
! First iCDR100, iPHY100 release version,,,
!,,,,
! Revision 1.4  2011-08-01 15:52:23-07  rbemra,,,,
"! Removed extra R30.529 register; this csv ""Saved As"" from xlsx master of same base name",,,,
!,,,,
! Revision 1.3  2011-07-29 18:52:16-07  rbemra,,,,
! Corrections by iPHY team from CDR100 tests upto screening,,,,
!,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
!,,,,
! Revision 2.0  2012-05-15 Andre,,,,
! B0 Updates,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
# Addr,Name,Def/mask,SubDes,Des
R8.0,PMA Control 1 ,16'h204C,,
30.648.6:0,Eyescan horizontal offset control,RW,,This 7 bit field is written by the user to specify the offset from the ideal CDR determined X dimension (time) sampling position.
R30.904,25G Rx Lane 2 Eye Scan Ctl 2,16'h0000,,
30.904.15:8,Eyescan Vertical offset control,RW,,This field indicates the vertical (voltage) eyescan offset.  There are 256 vertical offset steps available. A value of 8'h00 provides the lowest (most negative) offset. A value of 8'hFF provides the highest (most positive) offset.
30.904.7,Eyescan horizontal offset direction control,RW,0=earlier;1=later,"This 1 bit field is written by the user to specify the offset direction from the ideal CDR determined X dimension (time) sampling position.  When this bit is = 1, the direction of offset is to the right of the eye centre (later in time).  When this bit is = 0, the direction of offset is to the left of the eye centre (earlier in time)."
30.904.6:0,Eyescan horizontal offset control,RW,,This 7 bit field is written by the user to specify the offset from the ideal CDR determined X dimension (time) sampling position.
R30.1160,25G Rx Lane 3 Eye Scan Ctl 2,16'h0000,,
30.1160.15:8,Eyescan Vertical offset control,RW,,This field indicates the vertical (voltage) eyescan offset.  There are 256 vertical offset steps available. A value of 8'h00 provides the lowest (most negative) offset. A value of 8'hFF provides the highest (most positive) offset.
30.1160.7,Eyescan horizontal offset direction control,RW,0=earlier;1=later,"This 1 bit field is written by the user to specify the offset direction from the ideal CDR determined X dimension (time) sampling position.  When this bit is = 1, the direction of offset is to the right of the eye centre (later in time).  When this bit is = 0, the direction of offset is to the left of the eye centre (earlier in time)."
30.1160.6:0,Eyescan horizontal offset control,RW,,This 7 bit field is written by the user to specify the offset from the ideal CDR determined X dimension (time) sampling position.
R30.393,25G Rx Lane 0 Eye Sc Results,16'h0000,,
30.393.15:0,Eyescan compare results,R,,Number of eyescan mis-compares per 64K bits received for each setting of interpolator & eyescan vertical offset.  This field provides a binary count of the number mis-compares between the eye-scan receiver and the normal data receiver over a period of 64K bits 
R30.649,25G Rx Lane 1 Eye Sc Results,16'h0000,,
30.649.15:0,Eyescan compare results,R,,Number of eyescan mis-compares per 64K bits received for each setting of interpolator & eyescan vertical offset.  This field provides a binary count of the number mis-compares between the eye-scan receiver and the normal data receiver over a period of 64K bits 
R30.905,25G Rx Lane 2 Eye Sc Results,16'h0000,,
30.905.15:0,Eyescan compare results,R,,Number of eyescan mis-compares per 64K bits received for each setting of interpolator & eyescan vertical offset.  This field provides a binary count of the number mis-compares between the eye-scan receiver and the normal data receiver over a period of 64K bits 
R30.1161,25G Rx Lane 3 Eye Sc Results,16'h0000,,
30.1161.15:0,Eyescan compare results,R,,Number of eyescan mis-compares per 64K bits received for each setting of interpolator & eyescan vertical offset.  This field provides a binary count of the number mis-compares between the eye-scan receiver and the normal data receiver over a period of 64K bits 
R30.394,25G Rx Lane 0 PI Control 0,16'h0008,,
30.394.15:9,Reserved,R,,
30.394.8,PI Power down,RW,0=power up; 1=power down,
30.394.7:4,Reserved,R,,
30.394.3:0,PI Bias Adjust,RW,,
R30.650,25G Rx Lane 1 PI Control 0,16'h0008,,
30.650.15:9,Reserved,R,,
30.650.8,PI Power down,RW,0=power up; 1=power down,
30.650.7:4,Reserved,R,,
30.650.3:0,PI Bias Adjust,RW,,
R30.906,25G Rx Lane 2 PI Control 0,16'h0008,,
30.906.15:9,Reserved,R,,
30.906.8,PI Power down,RW,0=power up; 1=power down,
30.906.7:4,Reserved,R,,
30.906.3:0,PI Bias Adjust,RW,,
R30.1162,25G Rx Lane 3 PI Control 0,16'h0008,,
30.1162.15:9,Reserved,R,,
30.1162.8,PI Power down,RW,0=power up; 1=power down,
30.1162.7:4,Reserved,R,,
30.1162.3:0,PI Bias Adjust,RW,,
R30.416,25G Rx Lane 0 PI Control 1,16'h0000,,
30.416.15:14,PI 3 quadrant ,RW,,Phase Interpolator 3 quadrant override
30.416.13:12,PI 2 quadrant,RW,,Phase Interpolator 2 quadrant override
30.416.11:10,PI 1 quadrant,RW,,Phase Interpolator 1 quadrant override
30.416.9:8,PI 0 quadrant,RW,,Phase Interpolator 0 quadrant override
30.416.7:2,Reserved,R,,
30.416.1,PI Lock,RW,0=unlock; 1=lock;,Set this bit = '1' to lock the interpolator. This will stop the CDR algorithm and hence the interpolator adjusting to the incoming data stream. 
30.416.0,PI Code Override,RW,,Set this bit = '1' to force the contents of PI quadrant and PI offset to control the interpolator code under MDIO control. There are some restrictions on accessing this bit.
R30.672,25G Rx Lane 1 PI Control 1,16'h0000,,
30.672.15:14,PI 3 quadrant ,RW,,Phase Interpolator 3 quadrant override
30.672.13:12,PI 2 quadrant,RW,,Phase Interpolator 2 quadrant override
30.672.11:10,PI 1 quadrant,RW,,Phase Interpolator 1 quadrant override
30.672.9:8,PI 0 quadrant,RW,,Phase Interpolator 0 quadrant override
30.672.7:2,Reserved,R,,
30.672.1,PI Lock,RW,0=unlock; 1=lock;,Set this bit = '1' to lock the interpolator. This will stop the CDR algorithm and hence the interpolator adjusting to the incoming data stream. 
30.672.0,PI Code Override,RW,,Set this bit = '1' to force the contents of PI quadrant and PI offset to control the interpolator code under MDIO control. There are some restrictions on accessing this bit.
R30.928,25G Rx Lane 2 PI Control 1,16'h0000,,
30.928.15:14,PI 3 quadrant ,RW,,Phase Interpolator 3 quadrant override
30.928.13:12,PI 2 quadrant,RW,,Phase Interpolator 2 quadrant override
30.928.11:10,PI 1 quadrant,RW,,Phase Interpolator 1 quadrant override
30.928.9:8,PI 0 quadrant,RW,,Phase Interpolator 0 quadrant override
30.928.7:2,Reserved,R,,
30.928.1,PI Lock,RW,0=unlock; 1=lock;,Set this bit = '1' to lock the interpolator. This will stop the CDR algorithm and hence the interpolator adjusting to the incoming data stream. 
30.928.0,PI Code Override,RW,,Set this bit = '1' to force the contents of PI quadrant and PI offset to control the interpolator code under MDIO control. There are some restrictions on accessing this bit.
R30.1184,25G Rx Lane 3 PI Control 1,16'h0000,,
30.1184.15:14,PI 3 quadrant ,RW,,Phase Interpolator 3 quadrant override
30.1184.13:12,PI 2 quadrant,RW,,Phase Interpolator 2 quadrant override
30.1184.11:10,PI 1 quadrant,RW,,Phase Interpolator 1 quadrant override
30.1184.9:8,PI 0 quadrant,RW,,Phase Interpolator 0 quadrant override
30.1184.7:2,Reserved,R,,
30.1184.1,PI Lock,RW,0=unlock; 1=lock;,Set this bit = '1' to lock the interpolator. This will stop the CDR algorithm and hence the interpolator adjusting to the incoming data stream. 
30.1184.0,PI Code Override,RW,,Set this bit = '1' to force the contents of PI quadrant and PI offset to control the interpolator code under MDIO control. There are some restrictions on accessing this bit.
R30.417,25G Rx Lane 0 PI Control 2,16'h0000,,
30.417.15:8,PI offset Override #1[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table These bits allow the PI code for interpolator #1 to be overridden"
30.417.7:0,PI offset Override #0[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table. These bits allow the PI code for interpolator #0 to be overridden"
R30.673,25G Rx Lane 1 PI Control 2,16'h0000,,
30.673.15:8,PI offset Override #1[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table These bits allow the PI code for interpolator #1 to be overridden"
30.673.7:0,PI offset Override #0[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table. These bits allow the PI code for interpolator #0 to be overridden"
R30.929,25G Rx Lane 2 PI Control 2,16'h0000,,
30.929.15:8,PI offset Override #1[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table These bits allow the PI code for interpolator #1 to be overridden"
30.929.7:0,PI offset Override #0[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table. These bits allow the PI code for interpolator #0 to be overridden"
R30.1185,25G Rx Lane 3 PI Control 2,16'h0000,,
30.1185.15:8,PI offset Override #1[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table These bits allow the PI code for interpolator #1 to be overridden"
30.1185.7:0,PI offset Override #0[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table. These bits allow the PI code for interpolator #0 to be overridden"
R30.418,25G Rx Lane 0 PI Control 3,16'h0000,,
30.418.15:8,PI offset Override #3[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table These bits allow the PI code for interpolator #3 to be overridden"
30.418.7:0,PI offset Override #2[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table. These bits allow the PI code for interpolator #2 to be overridden"
R30.674,25G Rx Lane 1 PI Control 3,16'h0000,,
30.674.15:8,PI offset Override #3[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table These bits allow the PI code for interpolator #3 to be overridden"
30.674.7:0,PI offset Override #2[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table. These bits allow the PI code for interpolator #2 to be overridden"
R30.930,25G Rx Lane 2 PI Control 3,16'h0000,,
30.930.15:8,PI offset Override #3[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table These bits allow the PI code for interpolator #3 to be overridden"
30.930.7:0,PI offset Override #2[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table. These bits allow the PI code for interpolator #2 to be overridden"
R30.1186,25G Rx Lane 3 PI Control 3,16'h0000,,
30.1186.15:8,PI offset Override #3[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table These bits allow the PI code for interpolator #3 to be overridden"
30.1186.7:0,PI offset Override #2[7:0],RW,,"These 8 bits are used a simple binary coded numerical index into the PI code lookup table, as described in the pi_codes_table. These bits allow the PI code for interpolator #2 to be overridden"
R30.419,25G Rx Lane 0 Eq thr obs ,16'h0000,,
30.419.15,Reserved,R,,
30.419.14:0,EQ Adapted Threshold,R,,The value of the Equalizer adapted threshold can be read back via this register
R30.675,25G Rx Lane 1 Eq thr obs ,16'h0000,,
30.675.15,Reserved,R,,
30.675.14:0,EQ Adapted Threshold,R,,The value of the Equalizer adapted threshold can be read back via this register
R30.931,25G Rx Lane 2 Eq thr obs,16'h0000,,
30.931.15,Reserved,R,,
30.931.14:0,EQ Adapted Threshold,R,,The value of the Equalizer adapted threshold can be read back via this register
R30.1187,25G Rx Lane 3 Eq thr obs  ,16'h0000,,
30.1187.15,Reserved,R,,
30.1187.14:0,EQ Adapted Threshold,R,,The value of the Equalizer adapted threshold can be read back via this register
R30.420,25G Rx Lane 0 Eq Control 2 ,16'h0000,,
30.420.15:2,Eq Trip,R,,This field can be read for debug purposes to observe the value of the data pattern count at the time of the most recent equalizer  analysis interval expiry.  
30.420.1,Reserved,R,,
30.420.0,Equalizer code override,RW,,"Assert this bit = '1' to force the contents of bits[3:0] of the RX Equalizer Control Register 1 to control the equalizer code under MDIO control.  There are some restrictions on accessing this bit.  RX Equalizer Control Register 1 can be read at any time.  In order to have the value written to this register overwrite the equalizer code, the bit[0] in this register  must have been asserted in a previous write cycle."
R30.676,25G Rx Lane 1 Eq Control 2 ,16'h0000,,
30.676.15:2,Eq Trip,R,,This field can be read for debug purposes to observe the value of the data pattern count at the time of the most recent equalizer  analysis interval expiry.  
30.676.1,Reserved,R,,
30.676.0,Equalizer code override,RW,,"Assert this bit = '1' to force the contents of bits[3:0] of the RX Equalizer Control Register 1 to control the equalizer code under MDIO control.  There are some restrictions on accessing this bit.  RX Equalizer Control Register 1 can be read at any time.  In order to have the value written to this register overwrite the equalizer code, the bit[0] in this register  must have been asserted in a previous write cycle."
R30.932,25G Rx Lane 2 Eq Control 2 ,16'h0000,,
30.932.15:2,Eq Trip,R,,This field can be read for debug purposes to observe the value of the data pattern count at the time of the most recent equalizer  analysis interval expiry.  
30.932.1,Reserved,R,,
30.932.0,Equalizer code override,RW,,"Assert this bit = '1' to force the contents of bits[3:0] of the RX Equalizer Control Register 1 to control the equalizer code under MDIO control.  There are some restrictions on accessing this bit.  RX Equalizer Control Register 1 can be read at any time.  In order to have the value written to this register overwrite the equalizer code, the bit[0] in this register  must have been asserted in a previous write cycle."
R30.1188,25G Rx Lane 3 Eq Control 2 ,16'h0000,,
30.1188.15:2,Eq Trip,R,,This field can be read for debug purposes to observe the value of the data pattern count at the time of the most recent equalizer  analysis interval expiry.  
30.1188.1,Reserved,R,,
30.1188.0,Equalizer code override,RW,,"Assert this bit = '1' to force the contents of bits[3:0] of the RX Equalizer Control Register 1 to control the equalizer code under MDIO control.  There are some restrictions on accessing this bit.  RX Equalizer Control Register 1 can be read at any time.  In order to have the value written to this register overwrite the equalizer code, the bit[0] in this register  must have been asserted in a previous write cycle."
R30.421,25G Rx Lane 0 Eq Observe 1 ,16'h0007,,
30.421.15:4,Reserved,R,,
30.421.3:0,Equalizer state,R,,"This value indicates the active receive linear equalizer setting.  When adaptation is disabled it will match the value in register r25.4, when enabled it will indicate the value to which it is adapted."
R30.677,25G Rx Lane 1 Eq Observe 1,16'h0007,,
30.677.15:4,Reserved,R,,
30.677.3:0,Equalizer state,R,,"This value indicates the active receive linear equalizer setting.  When adaptation is disabled it will match the value in register r25.4, when enabled it will indicate the value to which it is adapted."
R30.933,25G Rx Lane 2 Eq Observe 1 ,16'h0007,,
30.933.15:4,Reserved,R,,
30.933.3:0,Equalizer state,R,,"This value indicates the active receive linear equalizer setting.  When adaptation is disabled it will match the value in register r25.4, when enabled it will indicate the value to which it is adapted."
R30.1189,25G Rx Lane 3 Eq Observe 1,16'h0007,,
30.1189.15:4,Reserved,R,,
30.1189.3:0,Equalizer state,R,,"This value indicates the active receive linear equalizer setting.  When adaptation is disabled it will match the value in register r25.4, when enabled it will indicate the value to which it is adapted."
R30.422,25G Rx Lane 0 Eq Setting ,16'h0007,,
30.422.15:4,Reserved,R,,
30.422.3:0,Equalizer Setting,RW,,This value selects the receive linear equalizer setting when equalizer adaptation is disabled.
R30.678,25G Rx Lane 1 Eq Setting,16'h0007,,
30.678.15:4,Reserved,R,,
30.678.3:0,Equalizer Setting,RW,,This value selects the receive linear equalizer setting when equalizer adaptation is disabled.
R30.934,25G Rx Lane 2 Eq Setting,16'h0007,,
30.934.15:4,Reserved,R,,
30.934.3:0,Equalizer Setting,RW,,This value selects the receive linear equalizer setting when equalizer adaptation is disabled.
R30.1190,25G Rx Lane 3 Eq Setting,16'h0007,,
30.1190.15:4,Reserved,R,,
30.1190.3:0,Equalizer Setting,RW,,This value selects the receive linear equalizer setting when equalizer adaptation is disabled.
R30.423,25G Rx0 2nd Order CDR Obs,16'h0000,,
30.423.15:14,Reserved,R,,
30.423.13:0,CDR2 Trip,R,,This field indicates the number of 1st order incr/decr pulses accumulated within the most recent second order CDR voting interval.  This value can be used to determine the magnitude of uncorrected receive clock ppm offset. A value of 14'h2000 indicates Zero accumulation. A value >14'h2000 indicates net positive accumulation (positive ppm). A value <14'h2000 indicates net negative accumulation (positive ppm). Note that there will normally be some small jitter induced variation of increments vs. decrements - so small accumulated values may not indicate an accurate ppm offset.  In such cases error should be reduced by averaging over multiple register reads.
R30.679,25G Rx1 2nd Order CDR Obs,16'h0000,,
30.679.15:14,Reserved,R,,
30.679.13:0,CDR2 Trip,R,,This field indicates the number of 1st order incr/decr pulses accumulated within the most recent second order CDR voting interval.  This value can be used to determine the magnitude of uncorrected receive clock ppm offset. A value of 14'h2000 indicates Zero accumulation. A value >14'h2000 indicates net positive accumulation (positive ppm). A value <14'h2000 indicates net negative accumulation (positive ppm). Note that there will normally be some small jitter induced variation of increments vs. decrements - so small accumulated values may not indicate an accurate ppm offset.  In such cases error should be reduced by averaging over multiple register reads.
R30.935,25G Rx2 2nd Order CDR Obs,16'h0000,,
30.935.15:14,Reserved,R,,
30.935.13:0,CDR2 Trip,R,,This field indicates the number of 1st order incr/decr pulses accumulated within the most recent second order CDR voting interval.  This value can be used to determine the magnitude of uncorrected receive clock ppm offset. A value of 14'h2000 indicates Zero accumulation. A value >14'h2000 indicates net positive accumulation (positive ppm). A value <14'h2000 indicates net negative accumulation (positive ppm). Note that there will normally be some small jitter induced variation of increments vs. decrements - so small accumulated values may not indicate an accurate ppm offset.  In such cases error should be reduced by averaging over multiple register reads.
R30.1191,25G Rx3 2nd Order CDR Obs,16'h0000,,
30.1191.15:14,Reserved,R,,
30.1191.13:0,CDR2 Trip,R,,This field indicates the number of 1st order incr/decr pulses accumulated within the most recent second order CDR voting interval.  This value can be used to determine the magnitude of uncorrected receive clock ppm offset. A value of 14'h2000 indicates Zero accumulation. A value >14'h2000 indicates net positive accumulation (positive ppm). A value <14'h2000 indicates net negative accumulation (positive ppm). Note that there will normally be some small jitter induced variation of increments vs. decrements - so small accumulated values may not indicate an accurate ppm offset.  In such cases error should be reduced by averaging over multiple register reads.
R30.424,25G Rx Lane 0 PI Position 1,16'h0000,,
30.424.15:14,Reserved,R,,
30.424.13:12,PI Select,RW,00=PI_0;01=PI_1;10=PI_2;11=PI_3;,These 2 bits are used to select which PI will present it?s position information on bits [9:0] in this register.
30.424.11:10,Reserved,R,,
30.424.9:8,PI Quadrant value,R,,The current value of the interpolator quadrant can be read back through this field
30.424.7:0,PI Code value,R,,The current value of the (coarse) interpolator code can be read back through this field
R30.680,25G Rx Lane 1 PI Position 1,16'h0000,,
30.680.15:14,Reserved,R,,
30.680.13:12,PI Select,RW,00=PI_0;01=PI_1;10=PI_2;11=PI_3;,These 2 bits are used to select which PI will present it?s position information on bits [9:0] in this register.
30.680.11:10,Reserved,R,,
30.680.9:8,PI Quadrant value,R,,The current value of the interpolator quadrant can be read back through this field
30.680.7:0,PI Code value,R,,The current value of the (coarse) interpolator code can be read back through this field
R30.936,25G Rx Lane 2 PI Position 1,16'h0000,,
30.936.15:14,Reserved,R,,
30.936.13:12,PI Select,RW,00=PI_0;01=PI_1;10=PI_2;11=PI_3;,These 2 bits are used to select which PI will present it?s position information on bits [9:0] in this register.
30.936.11:10,Reserved,R,,
30.936.9:8,PI Quadrant value,R,,The current value of the interpolator quadrant can be read back through this field
30.936.7:0,PI Code value,R,,The current value of the (coarse) interpolator code can be read back through this field
R30.1192,25G Rx Lane 3 PI Position 1,16'h0000,,
30.1192.15:14,Reserved,R,,
30.1192.13:12,PI Select,RW,00=PI_0;01=PI_1;10=PI_2;11=PI_3;,These 2 bits are used to select which PI will present it?s position information on bits [9:0] in this register.
30.1192.11:10,Reserved,R,,
30.1192.9:8,PI Quadrant value,R,,The current value of the interpolator quadrant can be read back through this field
30.1192.7:0,PI Code value,R,,The current value of the (coarse) interpolator code can be read back through this field
R30.425,25G Rx0 2nd order debug 1,16'h0000,,
30.425.15:7,Reserved,R,,
30.425.6:2,second order state value,RW,,Use this field to manually override the value of the second order state code when enabled by bit[0] in this register
30.425.1,Reserved,R,,
30.425.0,second order state override,RW,0=normal; 1=override enable,Set this field to 1'b1 to enable overriding of the second order state field
R30.681,25G Rx1 2nd order debug 1,16'h0000,,
30.681.15:7,Reserved,R,,
30.681.6:2,second order state value,RW,,Use this field to manually override the value of the second order state code when enabled by bit[0] in this register
30.681.1,Reserved,R,,
30.681.0,second order state override,RW,0=normal; 1=override enable,Set this field to 1'b1 to enable overriding of the second order state field
R30.937,25G Rx2 2nd order debug 1,16'h0000,,
30.937.15:7,Reserved,R,,
30.937.6:2,second order state value,RW,,Use this field to manually override the value of the second order state code when enabled by bit[0] in this register
30.937.1,Reserved,R,,
30.937.0,second order state override,RW,0=normal; 1=override enable,Set this field to 1'b1 to enable overriding of the second order state field
R30.1193,25G Rx3 2nd order debug 1,16'h0000,,
30.1193.15:7,Reserved,R,,
30.1193.6:2,second order state value,RW,,Use this field to manually override the value of the second order state code when enabled by bit[0] in this register
30.1193.1,Reserved,R,,
30.1193.0,second order state override,RW,0=normal; 1=override enable,Set this field to 1'b1 to enable overriding of the second order state field
R30.426,25G Rx0 2nd order debug 2,16'h0000,,
30.426.15:5,Reserved,R,,
30.426.4:0,second order state read,R,,Use this field to read the value of the second order adapted state
R30.682,25G Rx1 2nd order debug 2,16'h0000,,
30.682.15:5,Reserved,R,,
30.682.4:0,second order state read,R,,Use this field to read the value of the second order adapted state
R30.938,25G Rx2 2nd order debug 2,16'h0000,,
30.938.15:5,Reserved,R,,
30.938.4:0,second order state read,R,,Use this field to read the value of the second order adapted state
R30.1194,25G Rx3 2nd order debug 2,16'h0000,,
30.1194.15:5,Reserved,R,,
30.1194.4:0,second order state read,R,,Use this field to read the value of the second order adapted state
R30.432,25G Rx0 Sense Amp offset 1,16'h0000,,
30.432.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.432.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.433,25G Rx0 Sense Amp offset 2,16'h0000,,
30.433.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.433.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.434,25G Rx0 Sense Amp offset 3,16'h0000,,
30.434.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.434.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.435,25G Rx0 Sense Amp offset 4,16'h0000,,
30.435.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.435.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.436,25G Rx0 Sense Amp offset 5,16'h0000,,
30.436.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.436.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.437,25G Rx0 Sense Amp offset 6,16'h0000,,
30.437.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.437.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.438,25G Rx0 Sense Amp offset 7,16'h0000,,
30.438.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.438.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.439,25G Rx0 Sense Amp offset 8,16'h0000,,
30.439.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.439.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.688,25G Rx1 Sense Amp offset 1,16'h0000,,
30.688.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.688.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.689,25G Rx1 Sense Amp offset 2,16'h0000,,
30.689.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.689.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.690,25G Rx1 Sense Amp offset 3,16'h0000,,
30.690.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.690.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.691,25G Rx1 Sense Amp offset 4,16'h0000,,
30.691.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.691.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.692,25G Rx1 Sense Amp offset 5,16'h0000,,
30.692.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.692.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.693,25G Rx1 Sense Amp offset 6,16'h0000,,
30.693.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
30.693.7:0,Offset,RW,,The current value of the sense amp offset value can be written via this register subject to   restrictions.  The value written into this register can be read back also. This is not the adapted value of the sense amp offsets after autozero. It is simply a read back of the value that was written via this register.
R30.694,25G Rx1 Sense Amp offset 7,16'h0000,,
30.694.15:8,Adapted offset,R,,The adapted value of the sense amp offsets can be read back via these bits.
